Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SmLE-PZQ-ER-RNA-adu-f.1	33821795.0	302.0	11207116.0	33.14	292.68	7783730.0	7443050.0	7703612.0	38617.0	7027.0	34474.0	0.29	0.02	3.13	0.02	1.51	3414444.0	10.1	9046586.0	26.75	0.0	17.07	12.95	0	5773577	4380072
SmLE-PZQ-ER-RNA-adu-f.2	38395541.0	302.0	16559415.0	43.13	290.47	12965253.0	12461719.0	12831608.0	65856.0	12889.0	54900.0	0.28	0.02	2.73	0.02	1.7	3849253.0	10.03	5908776.0	15.39	0.0	24.31	7.15	0	9333075	2745022
SmLE-PZQ-ER-RNA-adu-f.3	32814497.0	302.0	13884307.0	42.31	291.22	10202929.0	9794645.0	10104176.0	51719.0	10088.0	36946.0	0.28	0.02	2.9	0.02	1.72	3370872.0	10.27	5829252.0	17.76	0.0	21.7	7.96	0	7118760	2611306
SmLE-PZQ-ER-RNA-adu-m.1	54189965.0	302.0	25407289.0	46.89	293.16	22090717.0	21359165.0	21915172.0	107425.0	21263.0	46857.0	0.28	0.02	2.32	0.02	1.59	1980066.0	3.65	11146283.0	20.57	0.0	17.98	10.91	0	9743882	5912445
SmLE-PZQ-ER-RNA-adu-m.2	29742155.0	302.0	15942950.0	53.6	293.19	15749925.0	15268236.0	15625636.0	83591.0	14660.0	26038.0	0.27	0.02	2.3	0.02	1.61	1086510.0	3.65	5038741.0	16.94	0.0	17.0	8.8	0	5056481	2617473
SmLE-PZQ-ER-RNA-adu-m.3	28967434.0	302.0	11549420.0	39.87	293.87	7979909.0	7670416.0	7912717.0	34605.0	7460.0	25127.0	0.29	0.02	2.29	0.02	1.54	972617.0	3.36	7555155.0	26.08	0.0	16.11	14.58	0	4666725	4223517
SmLE-PZQ-ER-RNA-juv-f.1	38870449.0	302.0	24176937.0	62.2	292.03	25214861.0	24324545.0	25004586.0	147613.0	20374.0	42288.0	0.35	0.01	2.35	0.01	1.79	1747226.0	4.49	3194264.0	8.22	0.0	19.75	5.34	0	7676462	2075560
SmLE-PZQ-ER-RNA-juv-f.2	34747805.0	302.0	18190974.0	52.35	287.5	18259603.0	17609377.0	18107329.0	106703.0	14298.0	31273.0	0.35	0.01	2.36	0.01	1.8	1322285.0	3.81	2300083.0	6.62	0.0	33.02	4.21	0	11471823	1462640
SmLE-PZQ-ER-RNA-juv-f.3	30156314.0	302.0	18186926.0	60.31	290.42	19814360.0	19136221.0	19651329.0	116978.0	16983.0	29070.0	0.36	0.01	2.4	0.01	1.73	1325949.0	4.4	2099471.0	6.96	0.0	23.99	4.34	0	7235079	1308889
SmLE-PZQ-ER-RNA-juv-m.1	26119317.0	302.0	15696901.0	60.1	291.62	16365982.0	15794468.0	16235947.0	93517.0	10926.0	25592.0	0.35	0.01	2.4	0.01	1.79	1127305.0	4.32	2345021.0	8.98	0.0	20.66	5.95	0	5396049	1554041
