Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SmLE-PZQ-ER-RNA-adu-f.1_R1	SmLE-PZQ-ER-RNA-adu-f.1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33821795.0	0.0	151.0	42.0	15.061444070594021	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SmLE-PZQ-ER-RNA-adu-f.1_R2	SmLE-PZQ-ER-RNA-adu-f.1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33821795.0	0.0	151.0	43.0	18.502782827607785	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-f.2_R1	SmLE-PZQ-ER-RNA-adu-f.2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38395541.0	0.0	151.0	41.0	17.990308550937478	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	fail	fail
SmLE-PZQ-ER-RNA-adu-f.2_R2	SmLE-PZQ-ER-RNA-adu-f.2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38395541.0	0.0	151.0	41.0	22.029018621118148	151.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	fail
SmLE-PZQ-ER-RNA-adu-f.3_R1	SmLE-PZQ-ER-RNA-adu-f.3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32814497.0	0.0	151.0	41.0	18.319461293423046	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-f.3_R2	SmLE-PZQ-ER-RNA-adu-f.3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32814497.0	0.0	151.0	41.0	22.280954501049628	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-m.1_R1	SmLE-PZQ-ER-RNA-adu-m.1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54189965.0	0.0	151.0	40.0	17.818884419434234	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-m.1_R2	SmLE-PZQ-ER-RNA-adu-m.1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54189965.0	0.0	151.0	40.0	22.951760439151613	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-m.2_R1	SmLE-PZQ-ER-RNA-adu-m.2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29742155.0	0.0	151.0	40.0	23.888014582623068	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-m.2_R2	SmLE-PZQ-ER-RNA-adu-m.2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29742155.0	0.0	151.0	40.0	28.179348280709014	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-adu-m.3_R1	SmLE-PZQ-ER-RNA-adu-m.3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28967434.0	0.0	151.0	41.0	17.03736794699367	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
SmLE-PZQ-ER-RNA-adu-m.3_R2	SmLE-PZQ-ER-RNA-adu-m.3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28967434.0	0.0	151.0	41.0	21.239006748855395	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
SmLE-PZQ-ER-RNA-juv-f.1_R1	SmLE-PZQ-ER-RNA-juv-f.1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38870449.0	0.0	151.0	39.0	58.14873410179372	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
SmLE-PZQ-ER-RNA-juv-f.1_R2	SmLE-PZQ-ER-RNA-juv-f.1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38870449.0	0.0	151.0	40.0	56.141356812092326	151.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail
