	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_000020	0.979448697868236	0.0205513021317642	1.06627135184957	1.06632233534047	730.24942885835	684.82928794869
gene:Smp_000030	0.118147998352052	0.881852001647948	1.25082606376915	1.25088881265899	2634.36581524482	2105.99317836802
gene:Smp_000040	0.849523468185303	0.150476531814697	0.929157139994146	0.929146534782806	3270.03234038052	3519.39433286436
gene:Smp_000050	0.984299077342778	0.0157009226572216	1.03273764059324	1.03279186413524	328.512188654045	318.081379359497
gene:Smp_000070	0.983910277198729	0.0160897228012707	1.05571688355916	1.05579920814833	376.460527661525	356.563981829162
gene:Smp_000080	0.95410937223958	0.0458906277604195	0.906714877193899	0.905375670857674	33.2166164505584	36.6892592357627
gene:Smp_000100	0.993769969944113	0.00623003005588689	1.19107704503717	1.19108763928899	11318.1114133802	9502.33142311845
gene:Smp_000110	0.985670433895014	0.0143295661049857	1.12496391057069	1.12527823241395	235.691512123559	209.450651894005
gene:Smp_000130	0.993994449460573	0.00600555053942734	0.972605928180994	0.972595670715654	1368.4788712428	1407.03808015014
gene:Smp_000150	1	9.72255219617103e-18	1.05450940685001	1.05455742648663	630.678957989191	598.050325733421
gene:Smp_000160	0.989628653151595	0.0103713468484048	0.972708822656911	0.972686884816961	637.510088404085	655.411696699501
gene:Smp_000180	0.992512213881421	0.00748778611857901	0.949969256062251	0.949948368398238	1198.77001699283	1261.93228746785
gene:Smp_000190	0.992606654354338	0.00739334564566165	1.07459787624609	1.07463174671878	1246.96365530511	1160.3629920622
gene:Smp_000200	0.989070462206722	0.0109295377932782	1.00689564806984	1.00690175501511	598.995160904927	594.889311597622
gene:Smp_000230	1	5.02630316001217e-17	0.930225044589723	0.930176400078792	702.938403716812	755.705156455558
gene:Smp_000240	0.364613663546623	0.635386336453377	1.11395178755323	1.11398151781016	2249.52560444029	2019.35528432031
gene:Smp_000260	0.998904023862276	0.00109597613772429	1.18164266336156	1.18165361054806	10329.9332766314	8741.92857186311
gene:Smp_000270	0.67685543917965	0.32314456082035	1.93836226110437	1.96059825553844	43.5808155471191	22.2234256515738
gene:Smp_000280	0.340352960676444	0.659647039323556	1.98819552861551	1.99426964975805	170.92685968007	85.7040155047782
gene:Smp_000300	0.987736719388004	0.0122632806119956	1.03383537868587	1.03387896496093	422.837134395198	408.980944516584
gene:Smp_000310	1.01030295240889e-14	0.99999999999999	0.803675392134452	0.80360966931396	1264.71500623738	1573.79511276957
gene:Smp_000320	0.99181120099951	0.00818879900049022	0.907576871973978	0.907550913178377	1702.38183762278	1875.79863277494
gene:Smp_000340	0.977728738803382	0.0222712611966177	0.997382284439947	0.997346125481909	38.0303810089066	38.1316040399473
gene:Smp_000370	0.0208544659661136	0.979145534033886	1.74515781196852	1.74688302787347	397.511879368855	227.55067408404
gene:Smp_000390	0.316549631509501	0.683450368490499	1.83378202025823	1.84306324961102	87.2227706131529	47.320318496429
gene:Smp_000420	0.0326590582722284	0.967340941727772	2.99515914768899	3.00528355784326	312.012329135834	103.814588638736
gene:Smp_000430	0.25453652869167	0.74546347130833	1.73707838294543	1.73805630449338	690.175619369303	397.091991221442
gene:Smp_000470	0.984840843333394	0.0151591566666065	0.834973560364145	0.83486711914775	681.941460917307	816.82832705432
gene:Smp_000480	0.957727606532613	0.0422723934673867	1.20303208299548	1.20311859532713	1487.59455163113	1236.44711853257
gene:Smp_000500	1	3.37460681958783e-16	0.292038723749062	0.0990421474248807	0.181413406733722	1.92264596649523
gene:Smp_000510	0.99469597018334	0.00530402981666037	1.05088964671903	1.05094733126712	488.466076965405	464.785963063584
gene:Smp_000580	0.812177079387331	0.187822920612669	0.784305580138508	0.783693342982561	145.454758640719	185.604385962643
gene:Smp_000590	0.5588992770952	0.4411007229048	0.871799789694977	0.871742584084279	1029.26347037918	1180.698031443
gene:Smp_000600	1	1.0646091486231e-17	1.06670384997644	1.06679938593648	392.417281582881	367.844806401479
gene:Smp_000620	1	5.38462113891533e-17	0.711488377526366	0.690678731009437	5.03506886148907	7.29450878965916
gene:Smp_000630	0.509196526821063	0.490803473178937	0.730139544109208	0.728794360304531	77.0191364279126	105.683924958099
gene:Smp_000640	0.99999999990892	9.10800961224935e-11	0.804165411348805	0.803990450464192	474.11377179267	589.703188159051
gene:Smp_000650	0.977005516031597	0.0229944839684032	0.909037268423518	0.908999973337433	1168.05808037121	1284.99342643861
gene:Smp_000660	0.997300519823627	0.00269948017637291	1.16033839969446	1.16036755176043	3362.44273622749	2897.73798608097
gene:Smp_000670	0.989661982621501	0.0103380173784988	1.21870431412104	1.21882812933725	1134.26459324871	930.617186841748
gene:Smp_000680	0.958657673674314	0.0413423263256863	1.11506031291572	1.11533074172322	250.00650310993	224.153554143273
gene:Smp_000690	1	2.15533243723215e-17	1.09016439141457	1.10305807076839	4.05395576895285	3.67426275701144
gene:Smp_000700	0.999999999999999	7.36332342000574e-16	0.933648050716935	0.933624806836686	1404.12817007078	1503.95407613492
gene:Smp_000710	0.942447392239999	0.0575526077600013	0.904202547791933	0.904151647269322	896.521186584377	991.561700711976
gene:Smp_000720	0.96117907440221	0.0388209255977904	1.17607801151473	1.17620032089218	892.101358657418	758.458895826116
gene:Smp_000740	0.329301210991295	0.670698789008705	1.20370626482363	1.20375032383225	2932.22307306677	2435.9046701882
gene:Smp_000755	0.983121875278196	0.0168781247218041	1.42388123252836	1.42521469663394	238.680732292187	167.467035464148
gene:Smp_000790	1	2.24960253074269e-18	0.979757001379581	0.979746639427477	1008.40536331549	1029.2513648614
gene:Smp_000810	0.00259506080711025	0.99740493919289	0.780275158706317	0.780053150720988	406.73962869547	521.428351116868
gene:Smp_000820	0.996624623755957	0.00337537624404308	0.933212125518352	0.933191998278258	1631.45141669135	1748.24911463172
gene:Smp_000830	0.965530944229365	0.034469055770635	0.913671928365976	0.911188841766002	16.6801781581151	18.3069255296931
gene:Smp_000850	0.982465149953575	0.0175348500464249	1.07515162714748	1.07519385706964	1008.07531376434	937.574703573182
gene:Smp_000870	0.979771025350993	0.0202289746490069	1.06459525724174	1.06476442131958	214.199350048716	201.170041105471
gene:Smp_000880	0.993698088162634	0.00630191183736562	1.15023846228866	1.15026068298465	4097.42576385596	3562.17014269956
gene:Smp_000900	0.958439521110567	0.0415604788894334	0.859783056215308	0.859515762438858	237.541568043751	276.368373061715
gene:Smp_000910	0.744729282444645	0.255270717555355	0.665701317152911	0.664593644182376	105.66486384775	158.996732569279
gene:Smp_000950	0.823593537993414	0.176406462006586	2.11296294552326	2.20160186017718	14.5542278717301	6.60528686688067
gene:Smp_000980	0.917888892681092	0.0821111073189085	0.908542326589076	0.90851682457986	1716.59799623275	1889.45197779726
gene:Smp_000990	0.710008947985645	0.289991052014355	1.27372751046268	1.27409322483029	502.413607322269	394.328183055004
gene:Smp_001000	0.117442262846245	0.882557737153755	0.826907103436113	0.826771562257521	556.260365399865	672.812325771528
gene:Smp_001020	0.949021234524036	0.0509787654759641	1.21806701565035	1.21891728405108	164.692648223699	135.112087756692
gene:Smp_001030	0.948962657901559	0.0510373420984414	1.11668978145852	1.11682316607515	514.748944280335	460.903562609334
gene:Smp_001040	0.994439867628447	0.00556013237155342	1.06813603474848	1.06814025059962	9095.19043635625	8514.97708268924
gene:Smp_001070	0.971500542730298	0.0284994572697022	1.03670348292704	1.03704319995829	59.020873815082	56.9122900429377
gene:Smp_001080	0.986511043566786	0.0134889564332143	0.942923115617469	0.94287369092926	573.660138682901	608.417347376205
gene:Smp_001090	0.982837656736075	0.0171623432639249	1.06902471133156	1.06913324981204	358.206102307579	335.042812519445
gene:Smp_001095	0.981879221217831	0.0181207787821689	0.897594498340395	0.897370297691191	215.938663357359	240.636101072171
gene:Smp_001100	0.997116263152381	0.00288373684761854	0.975130307477306	0.975126512936498	3367.1562437739	3453.04578209951
gene:Smp_001120	0.791890455724703	0.208109544275297	0.839130680235038	0.838888123469604	293.117311566235	349.413604131947
gene:Smp_001160	0.98639007736884	0.0136099226311597	0.904020137203196	0.903561904823018	99.7013666014767	110.343663727121
gene:Smp_001170	0.901161905308939	0.0988380946910607	1.24828500707767	1.24840735822853	1334.71305480473	1069.13065029117
gene:Smp_001180	0.78065718149237	0.21934281850763	1.18259165681379	1.18272147237112	876.443893705553	741.038432940374
gene:Smp_001210	0.987557222643253	0.0124427773567471	1.06565442834134	1.06591648150799	140.688735941395	131.98789888073
gene:Smp_001360	0.990497227584419	0.00950277241558144	0.950872103949323	0.950856851842903	1613.62715415816	1697.02478607815
gene:Smp_001390	0.982201679316813	0.0177983206831869	1.08710257790205	1.08721859934089	430.023254612169	395.525226193582
gene:Smp_001410	0.987472959767496	0.0125270402325044	1.10413367818909	1.10420230614167	882.726779752719	799.423921522224
