	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_000020	0	1	1.72784028428483	1.72821908223233	1762.97317880214	1020.10556111561
gene:Smp_000030	0	1	1.65107657379869	1.65117052477831	6074.9522622517	3679.17526347685
gene:Smp_000040	0.941558401558834	0.058441598441166	1.02385038779485	1.02385315925879	4677.82380248537	4568.84224231946
gene:Smp_000050	0.919651913390317	0.0803480866096827	1.05743578271935	1.05750224532168	485.175038859439	458.792845105875
gene:Smp_000070	0.0482294593336701	0.95177054066633	1.248562862005	1.2488137128919	656.950350546087	526.057534143866
gene:Smp_000075	0.999999999999998	1.72905053539145e-15	1.65032033580947	36.176476876306	0.35176476876306	0
gene:Smp_000080	0.0216536200225231	0.978346379977477	0.522760625678005	0.51730338067279	24.0075682059807	46.4183998584046
gene:Smp_000100	0.992377298363633	0.00762270163636676	1.06195571688102	1.06195779784292	16785.9203218056	15806.5788831945
gene:Smp_000110	0	1	1.59513829342642	1.59609781811799	525.574010765696	329.283107727839
gene:Smp_000130	0.891477625545264	0.108522374454736	1.1877700882848	1.18782225353398	2269.94622526913	1911.01348732364
gene:Smp_000150	0.999999999999995	5.23621605648532e-15	1.09969851841392	1.09975859408482	968.955557269177	881.061139139869
gene:Smp_000160	0.000327303543222413	0.999672696456778	0.746364100962445	0.74621288890111	664.509814833902	890.513099664613
gene:Smp_000180	3.67907926346334e-11	0.999999999963209	0.303157501357769	0.302936759120464	507.70742030855	1675.97485499957
gene:Smp_000190	0.583496401729331	0.416503598270669	0.755792949377165	0.75571850972527	1316.2292126631	1741.69566914075
gene:Smp_000200	0.933631430789079	0.0663685692109215	0.986893887968258	0.986885569256601	825.468001278197	836.437534540414
gene:Smp_000230	1.9493406888671e-11	0.999999999980507	1.21920538379866	1.21932389285305	1197.39114217761	982.010568280553
gene:Smp_000240	0	1	1.30677888714136	1.30683070645827	4107.45635665132	3143.06456685284
