	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_000020.1	0	1	1.3259853076514	1.32612629870849	1323.44746515419	997.977496698544
transcript:Smp_000030.1	2.43966723489919e-07	0.999999756033277	4.40132883642382	4.4254149028728	269.736224800333	60.943883583938
transcript:Smp_000030.2	0.136275626717736	0.863724373282264	1.18706517300796	1.18708774928667	4245.61904395689	3576.4981785303
transcript:Smp_000030.3	0.0429181985394002	0.9570818014606	0.428794112179871	0.428371560941182	249.939669838218	583.478010476347
transcript:Smp_000040.1	6.94184325465974e-05	0.999930581567453	1.21962431082613	1.2196502738814	4453.2553323078	3651.25415963142
transcript:Smp_000040.2	0.00122279407920511	0.998777205920795	2.04669103168627	2.05712526907124	89.0611725334902	43.2888568429303
transcript:Smp_000050.1	0.43196811647796	0.56803188352204	0.713619601357902	0.71066141741304	29.6861051111858	41.7765728792285
transcript:Smp_000050.2	0	1	17.0136361496504	17.2863692546998	438.091283712093	25.3337420696647
transcript:Smp_000070.1	0.000113980757846632	0.999886019242153	0.755800523853386	0.755678095703589	650.597276084289	860.94823047316
transcript:Smp_000080.1	1.35201061457479e-09	0.999999998647989	0.10670386504149	0.10416469092657	15.8076565979876	151.842383540773
transcript:Smp_000100.1	0	1	17.1055413137014	17.1206380370338	7883.71044758889	460.470528268604
transcript:Smp_000100.2	0	1	433.880682528046	19118.6115217496	191.176115217496	0
transcript:Smp_000100.3	0	1	50.1461501811415	50.3887828896111	4405.46423816833	87.4196616336138
transcript:Smp_000100.5	0	1	877.396030008578	38705.8891695972	387.048891695972	0
transcript:Smp_000100.6	0	1	64.0825100120262	74.2681332411142	198.527480462498	2.66325260240403
transcript:Smp_000110.1	0	1	0.55935822509774	0.559162095700393	542.239722387351	969.744077676065
transcript:Smp_000130.1	0	1	4.34511162074509	4.34862744585514	1785.87789416707	410.668522454086
transcript:Smp_000150.1	3.33066907387547e-16	1	1.38306598449972	1.3832925573765	1009.47146881511	729.757151158288
transcript:Smp_000160.1	0	1	4.04545103703238	4.05347698972576	663.888027555677	163.774827011092
transcript:Smp_000180.1	0	1	15.9217248149914	17.2055259326304	86.3092920817264	5.00695167120823
transcript:Smp_000190.1	0	1	1.67680239503013	1.67700171720943	2457.85716419573	1465.62187084011
transcript:Smp_000200.1	0	1	0.697423010899669	0.697294765761401	710.10720067748	1018.37883001234
transcript:Smp_000230.1	3.28737037591509e-12	0.999999999996713	1.30468689785277	1.30484081187585	1114.93067899571	854.45490395473
transcript:Smp_000240.1	0.000296127971871507	0.999703872028128	0.826636898890742	0.82661806049692	3283.48474436413	3972.19300556978
transcript:Smp_000260.1	0	1	3.03546775960323	3.03556349648209	27857.540409473	9177.05068140466
transcript:Smp_000270.1	0	1	0.0077659733548339	0.00773510488982218	107.310807028586	13874.5021827369
transcript:Smp_000280.1	0	1	0.00982172395279104	0.00981329395216994	497.51995746769	50699.5777115934
transcript:Smp_000300.1	0.0930575586005555	0.906942441399444	0.189530722849055	0.182903761162703	9.64524666650967	52.7786720597332
transcript:Smp_000300.2	0	1	5.3833509178448	5.39517259594813	863.46763584287	160.036341518593
transcript:Smp_000310.1	0.315590018484611	0.684409981515389	1.37157037992281	1.37700490820581	40.6280969274265	29.5019477681286
transcript:Smp_000310.2	0	1	0.284041036445491	0.283951297190343	977.830830441227	3443.68207014309
transcript:Smp_000310.3	0.00806033588238331	0.991939664117617	0.487248094844234	0.485090687295599	49.7541586850153	102.577330551433
transcript:Smp_000320.1	0	1	11.7226735957885	11.754337663577	1718.10876905684	146.15891382836
transcript:Smp_000340.1	0	1	0.0883109352789879	0.0879589198265632	98.3194353619915	1117.89180638731
transcript:Smp_000370.1	0	1	0.373665056803328	0.373339886709032	310.38811587659	831.398930379045
transcript:Smp_000390.1	0	1	0.00567692310993542	0.00566749395138962	257.957079156852	45516.9471188693
transcript:Smp_000420.1	0	1	0.0155131998868068	0.0155078654400439	1235.34329136549	79659.7791657993
transcript:Smp_000430.1	0	1	0.00584077304155055	0.00583969996810933	2335.25234392189	399894.223723443
transcript:Smp_000470.1	0.99999999999984	1.59872626825547e-13	1.01596885236113	1.01611881069665	46.6953064532377	45.9544147530511
transcript:Smp_000470.2	8.08922659024658e-05	0.999919107734098	0.586153956520223	0.586010779805068	731.113357300159	1247.6178295484
transcript:Smp_000470.3	0.340747065672032	0.659252934327968	0.700921646181143	0.699957572474897	93.7170827756506	133.893948555413
transcript:Smp_000480.1	0.373317200935076	0.626682799064924	0.768918900953963	0.76880768906558	689.514286938006	896.864857971393
transcript:Smp_000480.2	1.95399252334028e-14	0.99999999999998	0.670335779276274	0.670284452682175	1858.25289194464	2772.33968603063
transcript:Smp_000500.1	1.74256942209183e-10	0.999999999825743	0.155000337022408	0.147117574258273	6.79708658991201	46.2597038353949
transcript:Smp_000510.1	0.788532164381243	0.211467835618757	0.967951768192345	0.967918856703301	406.821088290383	420.305283117881
transcript:Smp_000580.1	0	1	5.57480790777487	5.61171528172694	300.233757577899	53.4930275957803
transcript:Smp_000590.1	0	1	0.471229790019363	0.471099879922191	827.657126346257	1756.87248208206
transcript:Smp_000600.1	0	1	0.42620138495766	0.425991191797243	501.939672433621	1178.2999794057
transcript:Smp_000600.2	0	1	0.264352063537034	0.263299428980445	79.4156825181993	301.645354232075
transcript:Smp_000620.1	0.724665122453478	0.275334877546522	1.73933961085332	1.80254239715007	9.09147706003301	5.03924437529069
transcript:Smp_000630.1	3.66433296494773e-06	0.999996335667035	0.424432554912113	0.422207667697763	47.1347110153328	111.652375229721
transcript:Smp_000640.1	0	1	0.51256118115786	0.512351891373761	515.051474623318	1005.27852004877
transcript:Smp_000650.1	1.19904086659517e-14	0.999999999999988	1.61365578149161	1.61413138171723	898.949858959518	556.921033707515
transcript:Smp_000650.2	0.0315515127741444	0.968448487225856	1.70361380326915	1.7081121831552	115.312288680597	67.5044699615541
transcript:Smp_000650.3	4.60923340561692e-06	0.999995390766594	13.5795562819826	14.7614200870706	67.807951937001	4.58427016757028
transcript:Smp_000660.1	0	1	0.315080618526566	0.315064084416727	5633.46247336915	17880.391962662
transcript:Smp_000670.1	0	1	1.82908386734341	1.82941144701393	1998.52406578991	1092.4364636165
transcript:Smp_000680.1	0.820388379544917	0.179611620455083	1.1059765546311	1.10609159045373	439.821596104324	397.63482426261
transcript:Smp_000690.1	0.980459425816913	0.0195405741830871	0.261606707216974	0.251927992570227	8.28593085526429	32.919770013357
transcript:Smp_000700.1	0.190544822552693	0.809455177447307	0.890014127318711	0.889975815665977	1102.80550430843	1239.14221615678
transcript:Smp_000710.1	0	1	0.736458632986041	0.736379301313	1055.88903734012	1433.89646024054
transcript:Smp_000720.1	5.22810381279326e-05	0.999947718961872	1.21008209455984	1.21014040924296	1881.75558800837	1554.98772888797
transcript:Smp_000740.1	0.636036064282607	0.363963935717393	1.1074907013764	1.10750363220203	3973.81228293838	3588.0796164984
transcript:Smp_000755.1	0	1	2.6026102322557	2.60330679731285	2585.28567398944	993.071444207035
transcript:Smp_000790.1	0	1	23.3220682570644	23.8329890883971	449.436472466188	18.8481663340331
transcript:Smp_000790.2	0.175267794954523	0.824732205045477	1.28480863712623	1.28510423441981	534.443218955115	415.873167015169
transcript:Smp_000810.1	0	1	0.328542171553546	0.32834557710301	484.047884153568	1474.22299690651
transcript:Smp_000820.1	0	1	22.2488937808904	22.3247920595737	2697.79441973107	120.833428800232
transcript:Smp_000820.2	0	1	43.224976396941	71.4919955066201	46.0862358227265	0.634774782072742
transcript:Smp_000830.1	0.000773049467131859	0.999226950532868	6.4410270024608	8.095864437349	11.4796662164706	1.40920190306854
transcript:Smp_000850.1	0	1	0.417365433856143	0.417264812992255	1042.88025287817	2499.33866398027
transcript:Smp_000870.1	0.337703099058442	0.662296900941558	1.20162957246488	1.20422402892772	40.3855728420945	33.5348985169845
transcript:Smp_000870.2	0.243950100515456	0.756049899484544	1.66896302126116	1.68437602169243	31.5453216751509	18.7241313749199
transcript:Smp_000870.3	0.999999999999513	4.87331192007124e-13	0.884775597040509	0.884479958348197	148.785511542927	168.219376074059
transcript:Smp_000870.4	1.15734656336297e-06	0.999998842653437	57.0839377213464	2477.87406078022	24.7687406078022	0
transcript:Smp_000880.1	0	1	0.561881993882037	0.561851310714185	3462.81819812466	6163.23663143166
transcript:Smp_000900.1	0	1	9.67741737201675	9.85380673675312	209.228101743768	21.2242404649914
transcript:Smp_000910.1	0	1	2.77729748018869	2.79167322661578	148.964845383661	53.3539983230617
transcript:Smp_000950.1	0	1	0.0951111820307169	0.0945741248958607	68.7705592459936	727.256145171638
transcript:Smp_000980.1	7.83899172737135e-05	0.999921610082726	0.791550716917309	0.791511390122906	1810.86164007932	2287.8555477063
transcript:Smp_000990.1	0	1	1.80127008649298	1.80206017739961	788.831583508396	437.734306989071
transcript:Smp_001000.1	0	1	4.66509905503627	4.67946850698293	515.172000776855	110.084127144584
transcript:Smp_001020.1	0.0127698095580272	0.987230190441973	0.637708769908787	0.637043928940825	149.830105361067	235.201574200537
transcript:Smp_001030.1	0	1	1.90881825169626	1.91023218639677	529.961464303273	277.428244459144
transcript:Smp_001040.1	0	1	2.82975542718408	2.82998777955078	9619.41568919309	3399.09502748533
transcript:Smp_001070.1	0	1	15.2060040024173	16.3514444922202	87.5234743522014	5.34325636789145
transcript:Smp_001080.1	0	1	2.54381613531953	2.5471055600145	515.979912565512	202.56892749548
transcript:Smp_001090.1	0.00178325540664959	0.99821674459335	0.776401214777769	0.77628059461631	621.126291134027	800.134039979557
transcript:Smp_001095.1	0.774771404291358	0.225228595708642	0.956953090782964	0.956840227719889	157.514535545604	164.619925647021
transcript:Smp_001095.2	0.774771404291358	0.225228595708642	0.956953090782964	0.956840227719889	157.514535545604	164.619925647021
