Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SmLE-PZQ-ER-RNA-adu-f.1_R1	84.93855592940598	42.0	151.0	45.45454545454545	33821795.0
SmLE-PZQ-ER-RNA-adu-f.1_R2	81.49721717239221	43.0	151.0	18.181818181818183	33821795.0
SmLE-PZQ-ER-RNA-adu-f.2_R1	82.00969144906253	41.0	151.0	36.36363636363637	38395541.0
SmLE-PZQ-ER-RNA-adu-f.2_R2	77.97098137888185	41.0	151.0	27.27272727272727	38395541.0
SmLE-PZQ-ER-RNA-adu-f.3_R1	81.68053870657695	41.0	151.0	27.27272727272727	32814497.0
SmLE-PZQ-ER-RNA-adu-f.3_R2	77.71904549895038	41.0	151.0	18.181818181818183	32814497.0
SmLE-PZQ-ER-RNA-adu-m.1_R1	82.18111558056577	40.0	151.0	18.181818181818183	54189965.0
SmLE-PZQ-ER-RNA-adu-m.1_R2	77.04823956084839	40.0	151.0	36.36363636363637	54189965.0
SmLE-PZQ-ER-RNA-adu-m.2_R1	76.11198541737693	40.0	151.0	18.181818181818183	29742155.0
SmLE-PZQ-ER-RNA-adu-m.2_R2	71.82065171929099	40.0	151.0	27.27272727272727	29742155.0
SmLE-PZQ-ER-RNA-adu-m.3_R1	82.96263205300633	41.0	151.0	45.45454545454545	28967434.0
SmLE-PZQ-ER-RNA-adu-m.3_R2	78.76099325114461	41.0	151.0	36.36363636363637	28967434.0
SmLE-PZQ-ER-RNA-juv-f.1_R1	41.85126589820628	39.0	151.0	18.181818181818183	38870449.0
SmLE-PZQ-ER-RNA-juv-f.1_R2	43.858643187907674	40.0	151.0	18.181818181818183	38870449.0
SmLE-PZQ-ER-RNA-juv-f.2_R1	44.186291570810255	40.0	151.0	18.181818181818183	34747805.0
