Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SmLE-PZQ-ER-RNA-juv-f.1_R1	41.85126589820628	39.0	151.0	18.181818181818183	38870449.0
SmLE-PZQ-ER-RNA-juv-f.1_R2	43.858643187907674	40.0	151.0	18.181818181818183	38870449.0
SmLE-PZQ-ER-RNA-juv-f.2_R1	44.186291570810255	40.0	151.0	18.181818181818183	34747805.0
SmLE-PZQ-ER-RNA-juv-f.2_R2	43.354682284382974	40.0	151.0	18.181818181818183	34747805.0
SmLE-PZQ-ER-RNA-juv-f.3_R1	41.175524717253566	40.0	151.0	18.181818181818183	30156314.0
SmLE-PZQ-ER-RNA-juv-f.3_R2	41.9479913113038	41.0	151.0	18.181818181818183	30156314.0
SmLE-PZQ-ER-RNA-juv-m.1_R1	48.18474050212361	40.0	151.0	18.181818181818183	26119317.0
SmLE-PZQ-ER-RNA-juv-m.1_R2	46.503983746095315	40.0	151.0	18.181818181818183	26119317.0
SmLE-PZQ-ER-RNA-juv-m.2_R1	43.417974054062356	40.0	151.0	18.181818181818183	36027139.0
SmLE-PZQ-ER-RNA-juv-m.2_R2	41.79331686858004	40.0	151.0	18.181818181818183	36027139.0
SmLE-PZQ-ER-RNA-juv-m.3_R1	47.94900702972369	40.0	151.0	18.181818181818183	37690079.0
SmLE-PZQ-ER-RNA-juv-m.3_R2	46.685156053618314	41.0	151.0	18.181818181818183	37690079.0
SmLE-PZQ-ES-RNA-juv-f.1_R1	47.51199741696384	40.0	151.0	18.181818181818183	27791153.0
SmLE-PZQ-ES-RNA-juv-f.1_R2	44.827119863040764	40.0	151.0	18.181818181818183	27791153.0
SmLE-PZQ-ES-RNA-juv-f.2_R1	44.93510678943111	38.0	151.0	18.181818181818183	34017720.0
SmLE-PZQ-ES-RNA-juv-f.2_R2	43.42448858523681	39.0	151.0	18.181818181818183	34017720.0
SmLE-PZQ-ES-RNA-juv-f.3_R1	41.828261548339306	38.0	151.0	18.181818181818183	32388232.0
SmLE-PZQ-ES-RNA-juv-f.3_R2	41.269760683599245	39.0	151.0	18.181818181818183	32388232.0
SmLE-PZQ-ES-RNA-juv-m.1_R1	47.46914709658916	39.0	151.0	18.181818181818183	33847051.0
SmLE-PZQ-ES-RNA-juv-m.1_R2	46.277957585179244	40.0	151.0	18.181818181818183	33847051.0
SmLE-PZQ-ES-RNA-juv-m.2_R1	47.13293141858329	40.0	151.0	18.181818181818183	32762558.0
SmLE-PZQ-ES-RNA-juv-m.2_R2	45.1680966172835	40.0	151.0	18.181818181818183	32762558.0
SmLE-PZQ-ES-RNA-juv-m.3_R1	45.32297234337981	40.0	151.0	18.181818181818183	31611263.0
SmLE-PZQ-ES-RNA-juv-m.3_R2	43.5886728076218	41.0	151.0	18.181818181818183	31611263.0
