	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_000050	0	1	6.87574997115194	6.91026925836083	467.802341043893	67.6881349862568	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
gene:Smp_000080	9.46499212339802e-10	0.999999999053501	0.10540323300786	0.10308196256346	15.7900869779391	153.266932113241	BET1-like protein	Syntaxin-1A
gene:Smp_000100	0	1	23.6139790655287	23.6302500814037	13061.8748721995	552.75117803251	Actin-binding/filamin-like protein	Filamin-B
gene:Smp_000130	0	1	4.3151840902739	4.31837250578084	1785.77041535366	413.520887611734	Hormone-sensitive lipase	Carboxylesterase
gene:Smp_000160	0	1	4.01676006712644	4.0240313696179	663.985495342545	164.997534572374	Amphoterin-induced protein 3	Leucine-rich repeat-containing protein 4C
gene:Smp_000180	0	1	15.9501079165707	17.130166447704	86.3032715880503	5.02867092310822	Kv channel-interacting protein 1	Calsenilin
gene:Smp_000260	0	1	3.01729366071586	3.01738056827042	27855.8710918588	9231.79900174815	Prosaposin	Proactivator polypeptide
gene:Smp_000270	0	1	0.00771451990138508	0.00768627456837065	107.384254587024	13972.2015872566	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
gene:Smp_000280	0	1	0.00975934898647831	0.00975163489042593	497.851287568255	51054.1253488378	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
gene:Smp_000300	0	1	4.05720382828599	4.06286184859909	873.096385023656	214.889353598427	WD repeat-containing protein 19	Coatomer beta'-subunit
gene:Smp_000310	0	1	0.296300166091234	0.2962225476854	1068.10019237612	3605.7593808997	Transmembrane protein 41B	Glycosyl hydrolase 25
gene:Smp_000320	0	1	11.6704309881326	11.6993333313594	1717.8399980493	146.823152744241	Uncharacterized protein ZK1073.1	Protein NDRG2, protein NDR2
gene:Smp_000340	0	1	0.0878345290394245	0.0875119635913642	98.4134146634427	1124.67525015653	ecdysone-induced protein E78	Liver X nuclear receptor beta
gene:Smp_000370	0	1	0.370471787923084	0.370173223812672	310.415803850432	838.586051473255	Selenoprotein K	RNA 3'-terminal phosphate cyclase
gene:Smp_000390	0	1	0.00563371800656173	0.00562509944790769	258.107333171469	45886.7046371036	50S ribosomal protein L34e	Putative type VI secretion protein
gene:Smp_000420	0	1	0.0154006630632024	0.0153957865505847	1236.29972297945	80301.8127693271	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
gene:Smp_000430	0	1	0.00579877985110693	0.00579779915562678	2337.63469092406	403195.172892006	Putative eggshell protein	Amyloid beta-peptide
gene:Smp_000500	6.24367224588696e-12	0.999999999993756	0.15326112528489	0.146038152905162	6.79887079499745	46.6139175143441	Vacuolating cytotoxin autotransporter	Hypothetical protein AQ_1857
gene:Smp_000580	0	1	5.52455444002624	5.55788159959829	300.087256132701	53.9848990914796	Coiled-coil domain-containing protein 63	Seryl-tRNA synthetase
gene:Smp_000590	0	1	0.467231853271941	0.467112224445868	827.358267223128	1771.23087943669	28S ribosomal protein S26, mitochondrial	Peptidoglycan recognition protein I-alpha
gene:Smp_000600	0	1	0.389827239691467	0.389664590221422	581.378346015134	1492.01252553861	Notchless protein homolog 1	RSA4, ribosome assembly protein 4
gene:Smp_000630	3.53871094593838e-06	0.999996461289054	0.419884005588551	0.417838931880374	47.1300450875527	112.80869996032	Isochorismatase domain-containing protein 2	F35G2.2, MAR1 ribonuclease
gene:Smp_000660	0	1	0.312646909815774	0.312631737457881	5632.92956734614	18017.8010295185	ornithine aminotransferase	Ornithine aminotransferase
gene:Smp_000755	0	1	2.58656102074198	2.58719222412249	2586.36431103834	999.673860721084	Membrane metallo-endopeptidase-like 1	Neprilysin
gene:Smp_000790	0	1	2.24748111238331	2.24861508368856	983.824958299487	437.519288776999	Actin-binding LIM protein 1	Flinc4, fusion protein of LMO4 protein and LIM domain- binding protein 1
gene:Smp_000810	0	1	0.325649238456365	0.325468935815234	484.127278419758	1487.49687129969	Putative deoxyribonuclease TATDN1	3'-5'-exonuclease
gene:Smp_000820	0	1	22.4713612710795	22.5415101386647	2744.07234172336	121.724627575663	DNA polymerase alpha catalytic subunit	Hepatitis B virus X-interacting protein
gene:Smp_000830	0.000510386693737819	0.999489613306262	6.54338988470557	8.09606013823424	11.4859571005027	1.40994462790761	homeobox protein smox-3	Homeobox protein OTX2
gene:Smp_000850	0	1	0.41388921768401	0.413796721646914	1042.83279996022	2520.17139682136	DnaJ homolog subfamily C member 5	DNAJ homolog subfamily C member 5
gene:Smp_000900	0	1	9.61377074324976	9.77379242399761	209.233901486295	21.3986704944273	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_000910	0	1	2.75492486040427	2.76789019376945	148.994337952065	53.8231825039432	Axonemal 84 kDa protein	Geminin
gene:Smp_000950	0	1	0.0945097295031337	0.0940178227417137	68.8213682050408	732.0997872489	Putative nucleotidyltransferase MAB21L1	Cyclic GMP-AMP synthase
gene:Smp_001000	0	1	4.64350760731759	4.65660590754652	515.158667453934	110.621794418988	Universal stress protein MSMEG_3950/MSMEI_3859	Protein (ATP-binding domain of protein MJ0577)
gene:Smp_001040	0	1	2.80852573754679	2.80873577362614	9618.70137501344	3424.55968196602	Kinesin heavy chain	Kinesin, kinesin heavy chain
gene:Smp_001070	0	1	15.1996480194397	16.2476803549474	87.5426871832715	5.37862688522868	2-oxoglutarate receptor 1	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_001080	0	1	2.52316607430731	2.52613249083	515.867359263675	204.206271765768	RIIa domain-containing protein 1	CAMP-dependent protein kinase type I-beta regulat subunit
gene:Smp_001100	0	1	19.3633820765999	19.385949669972	6273.77627867184	323.615429007982	Fibrillin-3	Fibrillin-1
gene:Smp_001120	0	1	0.459932859559571	0.459557889446432	263.238886732507	572.820741845402	39S ribosomal protein L50, mitochondrial	VAV proto-oncogene
gene:Smp_001160	0	1	2.62617472170411	2.6342743999536	210.33668234809	79.8399512244417	Sperm-associated antigen 16 protein	Platelet-activating factor acetylhydrolase IB alpha subunit
gene:Smp_001210	0	1	0.340839446110381	0.340541559600863	299.68928839888	880.056705368201	Myosin IC heavy chain	Unconventional myosin-IB
gene:Smp_001390	0	1	2.58912699377874	2.59120434381245	788.352219073692	304.235483748214	Nck-associated protein 1	NCK-associated protein 1
gene:Smp_001410	0	1	0.219103535324677	0.219048093080477	1227.05437849299	5601.79351829028	Glyoxalase domain-containing protein 4	Glyoxalase domain-containing protein 4
gene:Smp_001420	0	1	2.09074407293592	2.09208208432868	678.282457017144	324.208854555507	Growth hormone-regulated TBC protein 1	Rabgap/TBC protein
gene:Smp_001500	0	1	0.410744687240707	0.410691152204575	1797.85041419193	4377.63584053267	Eukaryotic translation initiation factor 4E	Eukaryotic translation initiation 4E
gene:Smp_001530	0	1	2.936543229523	2.93856318656593	1120.44730607645	381.284270342317	Exocyst complex component 8	Exocyst complex component EXO84
gene:Smp_001560	0	1	12.499137412354	12.6539797414204	373.737176247825	29.5259391974079	E3 ubiquitin-protein ligase Zswim2	Zinc finger SWIM domain-containing protein 2
gene:Smp_001590	0	1	0.481890748266675	0.48171892175299	577.686972121476	1199.23077306164	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	Conserved hypothetical protein
gene:Smp_001610	0	1	9.79366128075429	9.88397002352763	382.767651203962	38.7171157533668	Radial spoke head protein 9 homolog	Periplasmic protein related to spheroblast format
gene:Smp_001780	0	1	10.1584563216942	10.2115973214674	699.931034735004	68.5337363715416	Major facilitator superfamily domain-containing protein 6	DI-OR tripeptide\:H+ symporter
gene:Smp_001830	0	1	0.192396647977611	0.192375277987523	2891.4571939711	15030.3370602841	60S ribosomal protein L24	60S ribosomal protein L24, 60S ribosomal protein L26
gene:Smp_001980	0	1	4.00650867891337	4.05985714296006	90.9868817717956	22.4038137297731	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
gene:Smp_002010	0	1	0.24107733315427	0.240681746297645	183.632857181093	763.001154796868	Ribosomal RNA small subunit methyltransferase NEP1	Essential for mitotic growth 1
gene:Smp_002080	0	1	0.341690233447517	0.341639394697859	1759.44675864436	5150.03061577969	S-adenosylmethionine synthase isoform type-2	S-adenosylmethionine synthetase isoform type-2
gene:Smp_002180	0	1	0.26444328329737	0.264401504922733	1851.40494467732	7002.27595604387	Transcription factor BTF3	Transcription factor BTF3
gene:Smp_002230	0	1	0.199752006101891	0.199412427916828	186.891268615284	937.249881782482	ESF1 homolog	Protein (SXL-lethal protein), RNA (5'-R(P*GP*UP*UP*GP*UP*UP*UP*UP*UP*UP*UP*U)-3
gene:Smp_002550	0	1	0.272094178666274	0.271945712892676	530.27126118121	1949.9426414321	RNA-binding protein 8A	CG8781-PA, CG8781-PA protein
gene:Smp_002640	0	1	2.90385860104096	2.91012986987933	351.361764075153	120.73092215332	homeobox protein SMOX-1	Maltose binding-A1 homeodomain protein chimera
gene:Smp_003000	0	1	0.422731219813693	0.422509412399356	437.324376790081	1035.07789143072	Cyclin-dependent kinase 9	Cell division protein kinase 9
gene:Smp_003230	0	1	11.995760958196	12.0269311671665	1687.38057193071	140.291008501427	Endophilin-B1	SH3-containing GRB2-like protein 2
gene:Smp_003280	1.45550238528358e-13	0.999999999999854	0.401564175051578	0.399859112887416	55.806112056641	139.579446026597	LIM/homeobox protein Lhx9	Rhombotin-2
