	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_000180	0	1	0.319014120137494	0.318781509655852	458.197896239747	1437.36287879217	Kv channel-interacting protein 1	Calsenilin
gene:Smp_000270	3.20931059505369e-11	0.999999999967907	0.0470070394959855	0.0285722842961518	0.715200174859918	25.371245942509	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
gene:Smp_000280	5.45008482788489e-13	0.999999999999455	0.0500989313583792	0.0453335376805474	4.42669754017617	97.8578869370471	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
gene:Smp_000390	0	1	0.00919618809245127	0.000185234745413046	0	53.9755521041773	50S ribosomal protein L34e	Putative type VI secretion protein
gene:Smp_000420	2.51469731815668e-07	0.999999748530268	0.077759833610845	0.0739381842340686	8.75037292512055	118.472391958498	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
gene:Smp_000430	0	1	0.0243346679848458	0.0232761876134756	10.5239325585525	452.552624665132	Putative eggshell protein	Amyloid beta-peptide
gene:Smp_000630	0.000272466084941136	0.999727533915059	0.419555811959319	0.417188070252599	50.2032860705767	120.351270254381	Isochorismatase domain-containing protein 2	F35G2.2, MAR1 ribonuclease
gene:Smp_000660	1.87430293507873e-10	0.99999999981257	2.47425957748765	2.47447835596365	8186.77988215572	3308.48120681336	ornithine aminotransferase	Ornithine aminotransferase
gene:Smp_000755	0	1	5.22691221334855	5.23775457310551	1002.5380099352	191.397977587003	Membrane metallo-endopeptidase-like 1	Neprilysin
gene:Smp_000900	0	1	0.375963972925156	0.374990277578201	117.985975796143	314.654093581828	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_001900	0.0152489237314607	0.984751076268539	2.66473643520007	2.73446352332082	32.0435923891156	11.7120771517876	Neurofascin	DOWN syndrome cell adhesion molecule (dscam) ISOF 1.30.30, N-terminal eight IG domains...
gene:Smp_001950	0	1	0.467499895103112	0.467434435098742	1866.90691374396	3993.95529985983	CRISPR-associated endoribonuclease Cas2	Lipovitellin (LV-2)
gene:Smp_001980	0.00268162971227348	0.997318370287727	2.69074346093955	2.71715102666699	85.4029545631469	31.4247468082844	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
gene:Smp_002100	0	1	0.389626868372338	0.389587997577824	3003.5629093601	7709.60356108027	Vesicle transport protein SFT2B	Protein (E2)
gene:Smp_002550	0	1	0.499529798246543	0.49927805311042	487.316728349584	976.052787686378	RNA-binding protein 8A	CG8781-PA, CG8781-PA protein
gene:Smp_003190	0.0102704221642511	0.989729577835749	0.487606323766625	0.485429955183537	56.1023561850475	115.583105835078	E3 ubiquitin-protein ligase HACE1	Myotrophin, protein V-1
gene:Smp_005140	2.87644352781058e-10	0.999999999712356	0.182947757686894	0.176262058654891	10.5660248310161	59.9917094531004	Hemicentin-1	Thrombospondin 1
gene:Smp_005470	0.000359109405245639	0.999640890594754	0.274405856885107	0.270671527443245	25.8116703951913	95.3885468626938	Dynein light chain 1, cytoplasmic	Dynein light chain 1, cytoplasmic
gene:Smp_005790	0	1	2.91291298938458	2.91504195374578	1285.9641952104	441.141179164999	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
