	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	GFF_annotation	HHPred_annotation
transcript:Smp_000030.1	0	1	7.03708051932695	7.08549251713542	506.707703602408	71.5048174071133	26S proteasome non-ATPase regulatory subunit 2	26S proteasome regulatory subunit RPN1
transcript:Smp_000040.2	0.00169622598725272	0.998303774012747	2.60352095438906	2.63485789035233	77.3109848318138	29.3354099042413	Kinesin light chain	KLC 1, kinesin light chain 1
transcript:Smp_000100.2	1.80960801898777e-11	0.999999999981904	5.91187934430673	5.99176468817946	211.269519848489	35.2516517576701	Filamin-A	Filamin-B
transcript:Smp_000100.5	8.43869418787335e-12	0.999999999991561	2.81476949396006	2.82628955949587	255.321999092111	90.3317692055782	Filamin-A	Filamin-B
transcript:Smp_000100.6	0	1	3.25923087764203	3.28512997430711	164.33277885183	50.0162638425721	Filamin-B	Filamin-B
transcript:Smp_000180.1	1.87049264965822e-11	0.999999999981295	0.300371480539863	0.300132154182093	503.15632683686	1676.472575511	Kv channel-interacting protein 1	Calsenilin
transcript:Smp_000270.1	0	1	0.021231863251596	0.0120119121014505	0.721282901352584	60.8698079087075	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
transcript:Smp_000280.1	0	1	0.0139859681343111	0.011617473919214	2.76360456883826	238.734204473833	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
transcript:Smp_000310.1	8.08227343820356e-05	0.999919177265618	2.95400549682757	2.99783796934007	76.630801636834	25.5553582417283	Transmembrane protein 41B	Glycosyl hydrolase 25
transcript:Smp_000370.1	1.66533453693773e-15	0.999999999999998	0.336906583889303	0.33622266950533	186.93852404979	556.015934613033	Selenoprotein K	RNA 3'-terminal phosphate cyclase
transcript:Smp_000390.1	0	1	0.0107971083495111	0.00614095312525451	0.73819668602436	121.827224737544	50S ribosomal protein L34e	Putative type VI secretion protein
transcript:Smp_000420.1	0	1	0.0244096653260538	0.0231257778015837	10.0676420738692	435.765270364271	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
transcript:Smp_000430.1	0	1	0.017771488108656	0.0171872839426535	16.5620871889978	964.196284383944	Putative eggshell protein	Amyloid beta-peptide
transcript:Smp_000650.3	0.00170472987857118	0.998295270121429	2.2519939490203	2.26606287660292	115.637237368815	51.024434464671	E3 ubiquitin-protein ligase sina	E3 ubiquitin-protein ligase SIAH1
transcript:Smp_000660.1	8.02316489578736e-07	0.99999919768351	2.23687875687359	2.23702970233081	10512.3664521638	4699.2465370101	ornithine aminotransferase	Ornithine aminotransferase
transcript:Smp_000755.1	0	1	4.00234151057232	4.00750877345487	1335.34300116436	333.202745536463	Membrane metallo-endopeptidase-like 1	Neprilysin
transcript:Smp_000900.1	0.000144243907349018	0.999855756092651	0.408365259547978	0.407343384980415	135.240480243597	332.020628777978	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
transcript:Smp_001210.2	0.0303219841041754	0.969678015895825	2.44799868797993	2.46593893042662	114.131676804163	46.2773088200997	Myosin-1	Unconventional myosin-IB
transcript:Smp_001950.1	4.88720175439994e-13	0.999999999999511	0.466274824136799	0.466202731898185	1979.35580133185	4245.70900999527	CRISPR-associated endoribonuclease Cas2	Lipovitellin (LV-2)
transcript:Smp_001980.1	0.000395748474330881	0.999604251525669	3.01123757060132	3.04852706124489	94.2850830554714	30.9213583776964	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
transcript:Smp_002100.1	0	1	0.467233167584108	0.467190359899759	3334.49511471967	7137.34856072701	Vesicle transport protein SFT2B	Protein (E2)
transcript:Smp_003140.1	5.32076193104913e-07	0.999999467923807	2.66050753878087	2.67897429881156	138.136779141166	51.5570416108322	Sorting nexin-32	Sorting nexin-9
transcript:Smp_003230.2	4.69017549564743e-06	0.999995309824504	2.17332492085312	2.19293982936254	75.218221485092	34.2947358061621	Endophilin-B1	SH3-containing GRB2-like protein 2
transcript:Smp_003940.3	0.0018922622565255	0.998107737743474	6.1010092084362	7.32292579198163	17.52158785996	2.38406875857687	Arginine-hydroxylase NDUFAF5, mitochondrial	BAML, PTNL protein
transcript:Smp_004190.1	0	1	2.00638393728248	2.00710293339212	1611.11364865194	802.701022861719	Cationic amino acid transporter 4	Arginine/agmatine antiporter
transcript:Smp_005140.1	0.00203198569021634	0.997968014309784	0.169660584416976	0.160380983822273	8.22002802395802	51.3054853388241	Hemicentin-1	Thrombospondin 1
transcript:Smp_005160.2	3.75600006652377e-09	0.999999996244	2.21032085074113	2.21356150881942	474.102023548529	214.175158921286	Protein muscleblind	Muscleblind-like protein 1
transcript:Smp_005470.1	0.000117206695903205	0.999882793304097	0.33844565196992	0.334419894551773	31.5060733590357	94.2310241510214	Dynein light chain 1, cytoplasmic	Dynein light chain 1, cytoplasmic
