	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_000050	0	1	7.39205748774424	7.44848064587935	379.462148995951	50.9362489112974	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
gene:Smp_000080	0	1	0.11944352830952	0.116680088280444	16.7098682163029	143.286670946256	BET1-like protein	Syntaxin-1A
gene:Smp_000100	0	1	19.1588876738013	19.1712268844539	12687.6257671731	661.79614540959	Actin-binding/filamin-like protein	Filamin-B
gene:Smp_000130	0	1	3.85157820095471	3.85457265548367	1650.70740877392	428.239135847923	Hormone-sensitive lipase	Carboxylesterase
gene:Smp_000160	5.74984504453369e-13	0.999999999999425	3.06434213363451	3.07033935506917	475.267115280117	154.786281556118	Amphoterin-induced protein 3	Leucine-rich repeat-containing protein 4C
gene:Smp_000180	6.26294016647932e-10	0.999999999373706	12.2324412680058	13.3886643816152	58.4822996909857	4.35879273568953	Kv channel-interacting protein 1	Calsenilin
gene:Smp_000260	0	1	2.24904215519493	2.24909036742026	26203.2759278132	11650.6049807883	Prosaposin	Proactivator polypeptide
gene:Smp_000270	0	1	0.00831494482099313	0.00827906452814747	102.89298881974	12429.2914591065	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
gene:Smp_000280	0	1	0.0132970576622907	0.0132865117954225	559.031499392645	42075.8567135829	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
gene:Smp_000300	0	1	5.56937427867572	5.58533739177446	718.9711204378	128.716533422429	WD repeat-containing protein 19	Coatomer beta'-subunit
gene:Smp_000310	0	1	0.290564001819234	0.290462493222462	912.902997130163	3142.95344082873	Transmembrane protein 41B	Glycosyl hydrolase 25
gene:Smp_000320	0	1	10.8198340358304	10.8506889464282	1552.97085296776	143.112787929421	Uncharacterized protein ZK1073.1	Protein NDRG2, protein NDR2
gene:Smp_000340	0	1	0.0849720865277587	0.0846004483238177	93.6632496046772	1107.23294564176	ecdysone-induced protein E78	Liver X nuclear receptor beta
gene:Smp_000370	0	1	0.384927691192272	0.384572051560622	299.094312178845	777.748838597494	Selenoprotein K	RNA 3'-terminal phosphate cyclase
gene:Smp_000390	0	1	0.00741740451281659	0.00740489854603086	264.29016204398	35692.6008306573	50S ribosomal protein L34e	Putative type VI secretion protein
gene:Smp_000420	0	1	0.0178010637837474	0.0177955577998518	1427.58513734563	80221.9843539798	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
gene:Smp_000430	0	1	0.0071980013390782	0.00719643228705137	2047.71425199134	284547.133683382	Putative eggshell protein	Amyloid beta-peptide
gene:Smp_000580	0	1	8.33529699204034	8.45178694825908	239.325264058503	28.3077114524641	Coiled-coil domain-containing protein 63	Seryl-tRNA synthetase
gene:Smp_000600	0	1	0.439064294825689	0.438888964260569	631.440112608016	1438.73684493804	Notchless protein homolog 1	RSA4, ribosome assembly protein 4
gene:Smp_000660	0	1	0.329589898314892	0.329572794379503	5809.30316085675	17626.7882671147	ornithine aminotransferase	Ornithine aminotransferase
gene:Smp_000810	0	1	0.348185657231259	0.347923154707036	388.500439560223	1116.64588881937	Putative deoxyribonuclease TATDN1	3'-5'-exonuclease
gene:Smp_000820	0	1	16.0276096326371	16.0691747304786	2612.65425119282	162.578576887981	DNA polymerase alpha catalytic subunit	Hepatitis B virus X-interacting protein
gene:Smp_000850	0	1	0.341091415240987	0.340992946723991	1026.11931872187	3009.22913113208	DnaJ homolog subfamily C member 5	DNAJ homolog subfamily C member 5
gene:Smp_000900	0	1	15.3763289127216	15.8696483294806	207.967343083634	13.0953529836122	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_000910	1.1006306976924e-11	0.999999999988994	3.3317741616309	3.35994548429629	125.0563313188	37.2127263517622	Axonemal 84 kDa protein	Geminin
gene:Smp_000950	0	1	0.0668198250091817	0.0663251205797298	56.2534922308276	848.288378337556	Putative nucleotidyltransferase MAB21L1	Cyclic GMP-AMP synthase
gene:Smp_001000	3.95613541925854e-11	0.999999999960439	3.0477395954616	3.05491143252529	392.248053877459	128.392430820459	Universal stress protein MSMEG_3950/MSMEI_3859	Protein (ATP-binding domain of protein MJ0577)
gene:Smp_001040	0	1	2.71719057466037	2.71743347343591	8639.3390960282	3179.22113131622	Kinesin heavy chain	Kinesin, kinesin heavy chain
gene:Smp_001070	2.42309741160796e-08	0.999999975769026	15.9618035399641	17.9885683510714	59.7081197051468	3.30978168243667	2-oxoglutarate receptor 1	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_001080	0	1	3.41761187690232	3.42455203572048	536.465475236228	156.645664635962	RIIa domain-containing protein 1	CAMP-dependent protein kinase type I-beta regulat subunit
gene:Smp_001100	0	1	13.5150606986109	13.5293446625455	5330.75954456125	394.005355327514	Fibrillin-3	Fibrillin-1
gene:Smp_001120	0	1	0.408693166128703	0.408131568029942	193.238614557797	473.485876564049	39S ribosomal protein L50, mitochondrial	VAV proto-oncogene
gene:Smp_001160	0	1	2.6503477730107	2.66234499141244	164.687941013479	61.8519831557227	Sperm-associated antigen 16 protein	Platelet-activating factor acetylhydrolase IB alpha subunit
gene:Smp_001170	0	1	0.426537013970162	0.426490246476999	2351.784313015	5514.28799964215	Eukaryotic translation initiation factor 3 subunit A	Eukaryotic translation initiation factor 3 subuni
gene:Smp_001210	0	1	0.333858337091407	0.333485783418402	268.143829716254	804.083736673085	Myosin IC heavy chain	Unconventional myosin-IB
gene:Smp_001410	0	1	0.264139169199222	0.264068341079846	1233.7629517709	4672.16291828954	Glyoxalase domain-containing protein 4	Glyoxalase domain-containing protein 4
gene:Smp_001500	0	1	0.474671977929706	0.47461259484622	1888.13791651187	3978.28290038891	Eukaryotic translation initiation factor 4E	Eukaryotic translation initiation 4E
gene:Smp_001530	0	1	2.61787210556398	2.6197039284864	1040.48941703834	397.17206539451	Exocyst complex component 8	Exocyst complex component EXO84
gene:Smp_001560	0	1	9.23425435619317	9.33775354548977	334.076302043433	35.7680166734857	E3 ubiquitin-protein ligase Zswim2	Zinc finger SWIM domain-containing protein 2
gene:Smp_001610	0	1	13.9220696143769	14.1214571676849	411.558830925328	29.1349264787738	Radial spoke head protein 9 homolog	Periplasmic protein related to spheroblast format
gene:Smp_001780	3.10933634395383e-09	0.999999996890664	9.07481587162659	9.13222101605509	577.669770678309	63.2473138191363	Major facilitator superfamily domain-containing protein 6	DI-OR tripeptide\:H+ symporter
gene:Smp_001830	0	1	0.259199667720482	0.259170310543144	2941.03082580611	11347.8979437863	60S ribosomal protein L24	60S ribosomal protein L24, 60S ribosomal protein L26
gene:Smp_001980	0	1	5.98811343990262	6.18504504524168	70.4418982650905	11.3806847484144	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
gene:Smp_002010	0	1	0.27025725726746	0.269751858721604	175.147676021647	649.318893790561	Ribosomal RNA small subunit methyltransferase NEP1	Essential for mitotic growth 1
gene:Smp_002080	0	1	0.337227963292394	0.337173824110452	1856.23488925136	5505.29544341216	S-adenosylmethionine synthase isoform type-2	S-adenosylmethionine synthetase isoform type-2
gene:Smp_002180	0	1	0.317535413307716	0.317478845906504	1722.48360549807	5425.52819792242	Transcription factor BTF3	Transcription factor BTF3
