	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean	GFF_annotation	HHPred_annotation
transcript:Smp_000030.1	0	1	4.86434632643734	4.89428184683444	308.925408857247	63.1117037606983	26S proteasome non-ATPase regulatory subunit 2	26S proteasome regulatory subunit RPN1
transcript:Smp_000040.2	5.25135490647699e-14	0.999999999999947	4.06220160567731	4.12871802347262	92.9314907524842	22.5009804603009	Kinesin light chain	KLC 1, kinesin light chain 1
transcript:Smp_000050.2	0	1	46.4633713048719	49.6918712427815	342.155083743251	6.87573553753937	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
transcript:Smp_000080.1	0	1	0.117948379562805	0.114934113604038	16.4356433496924	143.07757281889	BET1-like protein	Syntaxin-1A
transcript:Smp_000100.1	0	1	13.5921977111982	13.603582842605	7357.08350418541	540.810281635198	Actin-binding/filamin-like protein	Filamin-B
transcript:Smp_000100.2	0	1	21.1313138053847	22.4280048398536	170.251217781894	7.5814562618315	Filamin-A	Filamin-B
transcript:Smp_000100.3	0	1	38.7158555101888	38.8792144137013	4389.21777001189	112.883941819594	Filamin-A	Filamin-B
transcript:Smp_000100.5	0	1	930.335927474765	46372.8353749131	463.718353749131	0	Filamin-A	Filamin-B
transcript:Smp_000100.6	0	1	97.5599461475231	134.633277877237	171.455717380986	1.26357604363858	Filamin-B	Filamin-B
transcript:Smp_000130.1	0	1	3.8122516450909	3.81546633142254	1632.11224872891	427.754814824195	Hormone-sensitive lipase	Carboxylesterase
transcript:Smp_000160.1	4.05231403988182e-14	0.999999999999959	3.03260307396297	3.03903704116144	469.45066831275	154.466783913543	Amphoterin-induced protein 3	Leucine-rich repeat-containing protein 4C
transcript:Smp_000180.1	4.12816447692421e-10	0.999999999587184	11.9900930957388	13.2210441869143	57.7086033897646	4.35566148435479	Kv channel-interacting protein 1	Calsenilin
transcript:Smp_000260.1	0	1	2.22561887939042	2.22567034331803	25918.0706692858	11645.0571803656	Prosaposin	Proactivator polypeptide
transcript:Smp_000270.1	0	1	0.00820130277842564	0.00816220709827032	101.239259101302	12404.6322594151	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
transcript:Smp_000280.1	0	1	0.0131208883174549	0.0131093956720284	550.437754127967	41988.7870352791	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
transcript:Smp_000300.2	0	1	8.17676191392784	8.2183716360022	693.110882839988	84.3279824542901	WD repeat-containing protein 19	Coatomer beta'-subunit
transcript:Smp_000310.2	0	1	0.263796370349897	0.263677300851688	797.175992197091	3023.32947450974	Transmembrane protein 41B	Sigma-54, RNA polymerase sigma factor RPON
transcript:Smp_000320.1	0	1	10.6928737251023	10.7259588652289	1536.53465876371	143.244759604275	Uncharacterized protein ZK1073.1	Protein NDRG2, protein NDR2
transcript:Smp_000340.1	0	1	0.0841124918642554	0.0837076227354391	92.5838121001845	1106.14746898978	ecdysone-induced protein E78	Liver X nuclear receptor beta
transcript:Smp_000370.1	0	1	0.382043219343402	0.381653772246124	296.110636139356	775.878141748515	Selenoprotein K	RNA 3'-terminal phosphate cyclase
transcript:Smp_000390.1	0	1	0.00732109563809794	0.007307459799689	260.115462369327	35597.2384967209	50S ribosomal protein L34e	Putative type VI secretion protein
transcript:Smp_000420.1	0	1	0.0175784352373358	0.0175724330641022	1406.39610342749	80034.7864506157	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
transcript:Smp_000430.1	0	1	0.00710337236057025	0.00710166170981195	2015.5333609264	283812.912001289	Putative eggshell protein	Amyloid beta-peptide
