	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean	GFF_annotation	HHPred_annotation
transcript:Smp_000030.1	1.54543045027822e-13	0.999999999999845	6.04199675042761	6.09963789894591	280.808726531982	46.0285896973508	26S proteasome non-ATPase regulatory subunit 2	26S proteasome regulatory subunit RPN1
transcript:Smp_000030.2	0	1	2.1081958939303	2.1085177227163	3821.37664112605	1812.34689885648	26S proteasome regulatory subunit RPN1	26S proteasome regulatory subunit RPN1
transcript:Smp_000050.1	0	1	0.113260851594566	0.111875899203187	37.6907207126005	336.976973790747	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
transcript:Smp_000050.2	0	1	17.3681362688301	17.7431573334552	407.582842332659	22.9618327281093	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
transcript:Smp_000100.2	0.00633484919791583	0.993665150802084	13.9876889965445	14.9022447557396	111.374679400281	7.46435579175954	Filamin-A	Filamin-B
transcript:Smp_000100.3	6.2843022263781e-07	0.999999371569777	2.16402580169925	2.1642955663443	4915.24689742871	2271.05545606017	Filamin-A	Filamin-B
transcript:Smp_000100.5	0	1	6.40152202195234	6.48427965260001	222.742155426218	34.342644759376	Filamin-A	Filamin-B
transcript:Smp_000100.6	0	1	5.87052252580324	5.96907749493653	155.248834942168	26.000524251674	Filamin-B	Filamin-B
transcript:Smp_000180.1	0	1	0.321468282746176	0.32121785883313	458.075045535115	1426.07834763788	Kv channel-interacting protein 1	Calsenilin
transcript:Smp_000270.1	5.18539655658401e-11	0.999999999948146	0.0487326481189338	0.028858379126018	0.717001720140884	25.1820496631578	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
transcript:Smp_000280.1	8.42215186480644e-13	0.999999999999158	0.0507398906984427	0.0455967005616424	4.41933108566588	97.1314824122602	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
transcript:Smp_000390.1	0	1	0.00991321458847973	0.000186652589615704	0	53.5654688460997	50S ribosomal protein L34e	Putative type VI secretion protein
