	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean	GFF_annotation	HHPred_annotation
gene:Smp_000180	3.67907926346334e-11	0.999999999963209	0.303157501357769	0.302936759120464	507.70742030855	1675.97485499957	Kv channel-interacting protein 1	Calsenilin
gene:Smp_000270	0	1	0.0206028993539432	0.0120539244552413	0.723152192878275	60.8126968404041	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
gene:Smp_000280	0	1	0.0138903390969986	0.011696870580083	2.78180058199015	238.669274330343	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
gene:Smp_000370	3.21964677141295e-15	0.999999999999997	0.340377242437578	0.339747058392925	188.791236029811	555.701172078664	Selenoprotein K	RNA 3'-terminal phosphate cyclase
gene:Smp_000390	0	1	0.010490703708029	0.00617852528982518	0.742712080417554	121.817142418131	50S ribosomal protein L34e	Putative type VI secretion protein
gene:Smp_000420	0	1	0.024472113337986	0.023283713671465	10.1372957395342	435.800879772587	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
gene:Smp_000430	0	1	0.0178645703606125	0.0173236931784269	16.6906779563152	964.026812722616	Putative eggshell protein	Amyloid beta-peptide
gene:Smp_000660	2.5885411880644e-07	0.999999741145881	2.26086313489364	2.26100579744779	10609.1384964621	4692.2152514512	ornithine aminotransferase	Ornithine aminotransferase
gene:Smp_000755	0	1	4.04570515223853	4.05056549965145	1347.57790515896	332.681300825753	Membrane metallo-endopeptidase-like 1	Neprilysin
gene:Smp_000900	0.000216437770888644	0.999783562229111	0.411922116824812	0.410981864332346	136.458969303084	332.045940046851	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
gene:Smp_001950	1.78523862359725e-12	0.999999999998215	0.470690850234737	0.470624640129427	1997.46192847126	4244.28950782418	CRISPR-associated endoribonuclease Cas2	Lipovitellin (LV-2)
gene:Smp_001980	0	1	3.04544317417955	3.08057729076575	95.2063195752342	30.8985962104089	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
gene:Smp_002100	0	1	0.471855278760852	0.471815961292906	3364.80298450659	7131.61177745339	Vesicle transport protein SFT2B	Protein (E2)
gene:Smp_003600	0.0465520662891745	0.953447933710825	0.188313506492374	0.148855566699331	1.61569808617802	10.9113119954171	Natterin-4	NIFU-like protein
gene:Smp_004190	0	1	2.02706346513598	2.02774340558304	1626.1388727597	801.940023993361	Cationic amino acid transporter 4	Arginine/agmatine antiporter
gene:Smp_005140	0.0022185408346197	0.99778145916538	0.170230752056871	0.161654140515097	8.29327321906534	51.3544326870173	Hemicentin-1	Thrombospondin 1
gene:Smp_005470	0.000115064072242821	0.999884935927757	0.341276549710247	0.337560631877017	31.75945128159	94.1047997766649	Dynein light chain 1, cytoplasmic	Dynein light chain 1, cytoplasmic
gene:Smp_006860	1.4647139057189e-10	0.999999999853529	0.377399219012241	0.377380851675156	6791.46686192162	17996.3372756367	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
gene:Smp_007270	0	1	0.323120584630802	0.323057181205087	1831.03443265494	5667.85482140613	Smoothelin-like protein 1	Smoothelin splice isoform L2
gene:Smp_008450	0.00338138133808263	0.996618618661917	0.424782864872127	0.417732978731934	18.0854494772685	43.3082209654571	Leucine-rich repeat and death domain-containing protein 1	LRR receptor-like serine/threonine-protein kinase
gene:Smp_009020	2.55706567031666e-12	0.999999999997443	3.10828771347297	3.13856417842556	116.021692178839	36.9596732590142	Zinc finger protein Eos	Zinc finger protein 217
gene:Smp_009630	8.5894585089008e-07	0.999999141054149	0.344428271577114	0.340523092476215	30.3391637673661	89.1151267180536	Homeobox protein SIX6	Maltose-binding periplasmic protein, homeobox Pro chimera
gene:Smp_011220	1.87286186559277e-10	0.999999999812714	0.489244552339556	0.488791813369747	292.748796448883	598.933739320415	Rab-3A-interacting protein	RAB-3A-interacting protein
gene:Smp_011560	0	1	0.429351479783476	0.429337768924307	9486.88340799521	22096.563128808	Tetraspanin-11	CD81 antigen
gene:Smp_013540	0	1	0.0266859990575033	0.0143688305348761	0.592815499722485	41.9429966798154	Tyrosinase	Tyrosinase
gene:Smp_014260	1.55803274837218e-07	0.999999844196725	0.354738703971174	0.352872959706988	64.7822082024661	183.603412193065	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
